20x20x1
1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 13:0:1 1:0:1 25:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 25:0:1 25:0:1 1:0:1 13:0:1
1:0:1 2:0:1 3:0:1 7:0:1 3:0:1 7:0:1 3:0:1 7:0:1 3:0:1 7:0:1 7:0:1 3:0:1 7:0:1 3:0:1 7:0:1 3:0:1 7:0:1 3:0:1 4:0:1 1:0:1
1:0:1 14:0:1 29:0:1 19:0:1 30:0:1 19:0:1 21:0:1 19:0:1 30:0:1 19:0:1 19:0:1 30:0:1 19:0:1 21:0:1 19:0:1 30:0:1 19:0:1 29:0:1 16:0:1 1:0:1
25:0:1 14:0:1 53:1:0 31:0:0 52:0:0 31:0:0 45:0:0 31:0:0 51:0:0 31:0:0 31:0:0 51:0:0 31:0:0 45:0:0 31:0:0 51:0:0 31:0:0 52:0:0 16:0:1 1:0:1
25:0:1 14:0:1 134:0:0 83:0:1 83:0:1 83:0:1 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 83:0:1 83:0:1 49:0:0 16:0:1 25:0:1
1:0:1 14:0:1 133:0:0 83:0:1 83:0:1 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 83:0:1 49:0:0 16:0:1 1:0:1
1:0:1 14:0:1 133:0:0 49:0:0 49:0:0 49:0:0 49:0:0 83:0:1 49:0:0 74:0:0 73:0:1 87:0:0 75:0:1 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 16:0:1 1:0:1
1:0:1 14:0:1 71:0:0 71:0:0 71:0:0 71:0:0 71:0:0 81:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 17:0:1 3:0:1
1:0:1 14:0:1 134:0:0 57:0:1 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 5:0:1 27:0:1 6:0:1 133:0:0 49:0:0 58:0:1 29:0:1
13:0:1 14:0:1 133:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 17:0:1 3:0:1 18:0:1 133:0:0 49:0:0 52:0:0 42:0:0
1:0:1 14:0:1 133:0:0 49:0:0 74:0:0 73:0:1 86:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 64:0:1 58:0:1 29:0:1 60:0:1 134:0:0 49:0:0 5:0:1 27:0:1
1:0:1 14:0:1 133:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 52:0:0 51:0:0 51:0:0 54:0:0 49:0:0 16:0:1 1:0:1
1:0:1 14:0:1 133:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 66:0:1 49:0:0 65:0:1 49:0:0 49:0:0 16:0:1 1:0:1
1:0:1 14:0:1 133:0:0 49:0:0 49:0:0 64:0:1 49:0:0 49:0:0 49:0:0 74:0:0 73:0:1 85:0:0 49:0:0 67:0:0 49:0:0 67:0:0 49:0:0 83:0:1 16:0:1 1:0:1
25:0:1 14:0:1 134:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 74:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 16:0:1 1:0:1
13:0:1 14:0:1 134:0:0 49:0:0 49:0:0 49:0:0 49:0:0 64:0:1 49:0:0 49:0:0 49:0:0 49:0:0 65:0:1 49:0:0 66:0:1 49:0:0 65:0:1 49:0:0 16:0:1 25:0:1
1:0:1 14:0:1 133:0:0 64:0:1 83:0:1 49:0:0 49:0:0 76:0:1 64:0:1 49:0:0 49:0:0 49:0:0 67:0:0 49:0:0 67:0:0 49:0:0 67:0:0 49:0:0 16:0:1 1:0:1
25:0:1 14:0:1 133:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 83:0:1 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 49:0:0 16:0:1 1:0:1
13:0:1 26:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 27:0:1 28:0:1 1:0:1
25:0:1 13:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 13:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 1:0:1 1:0:1 1:0:1 1:0:1 13:0:1 1:0:1 25:0:1
